Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
316,20.0,0.1,32.920329570770264,0.6657972606357437,43
317,20.0,0.1,32.920329570770264,0.6657483434168827,43
318,20.0,0.01,32.920329570770264,0.7237479592816671,43
319,20.0,0.01,32.920329570770264,0.6707027873811582,43
320,20.0,0.01,32.920329570770264,0.7181924037261116,43
321,20.0,0.01,32.920329570770264,0.671994141937962,43
322,20.0,0.001,32.920329570770264,0.700840295784116,43
323,20.0,0.001,32.920329570770264,0.7059417915106118,43
324,20.0,0.001,32.920329570770264,0.6900989148180159,43
325,20.0,0.001,32.920329570770264,0.6329672044559684,43
326,20.0,0.0001,32.920329570770264,0.6691044247575146,43
327,20.0,0.0001,32.920329570770264,0.6455383294919812,43
328,20.0,0.0001,32.920329570770264,0.6863058796696437,43
329,20.0,0.0001,32.920329570770264,0.5762403365984827,43
330,10.0,0.1,32.920329570770264,0.7320500816287333,43
331,10.0,0.1,32.920329570770264,0.6628547248631518,43
332,10.0,0.1,32.920329570770264,0.6788005377893018,43
333,10.0,0.1,32.920329570770264,0.667417831076539,43
334,10.0,0.01,32.920329570770264,0.6028209929895323,43
335,10.0,0.01,32.920329570770264,0.4707021871698838,43
336,10.0,0.01,32.920329570770264,0.5900623019302795,43
337,10.0,0.01,32.920329570770264,0.6262721477960242,43
338,10.0,0.001,32.920329570770264,0.6955026169211562,43
339,10.0,0.001,32.920329570770264,0.7215667915106118,43
340,10.0,0.001,32.920329570770264,0.6691716484202439,43
341,10.0,0.001,32.920329570770264,0.6338753241140882,43
342,10.0,0.0001,32.920329570770264,0.6637715475847498,43
343,10.0,0.0001,32.920329570770264,0.6615366609046385,43
344,10.0,0.0001,32.920329570770264,0.7516859934697013,43
345,10.0,0.0001,32.920329570770264,0.6409485138768847,43
346,5.0,0.1,32.920329570770264,0.6800195668875444,43
347,5.0,0.1,32.920329570770264,0.6655340679919332,43
348,5.0,0.1,32.920329570770264,0.5310567319696533,43
349,5.0,0.1,32.920329570770264,0.6644080716412177,43
350,5.0,0.01,32.920329570770264,0.6507376596561989,43
351,5.0,0.01,32.920329570770264,0.7278702103140305,43
352,5.0,0.01,32.920329570770264,0.7059417915106118,43
353,5.0,0.01,32.920329570770264,0.7222033155670795,43
354,5.0,0.001,32.920329570770264,0.6432983410160377,43
355,5.0,0.001,32.920329570770264,0.7003862359550562,43
356,5.0,0.001,32.920329570770264,0.6782351387688467,43
357,5.0,0.001,32.920329570770264,0.6785643546528378,43
358,5.0,0.0001,32.920329570770264,0.6813292278882166,43
359,5.0,0.0001,32.920329570770264,0.6242953519638912,43
360,5.0,0.0001,32.920329570770264,0.5823123739556324,43
361,5.0,0.0001,32.920329570770264,0.7200797680783636,43
362,1.0,0.1,32.920329570770264,0.6034170027849803,43
363,1.0,0.1,32.920329570770264,0.7381086142322097,43
364,1.0,0.1,32.920329570770264,0.7047887856525498,43
365,1.0,0.1,32.920329570770264,0.646539481897628,43
366,1.0,0.01,32.920329570770264,0.7222522327859406,43
367,1.0,0.01,32.920329570770264,0.6859802650532988,43
368,1.0,0.01,32.920329570770264,0.6660823609910689,43
369,1.0,0.01,32.920329570770264,0.7645020047056563,43
370,1.0,0.001,32.920329570770264,0.6595562638048593,43
371,1.0,0.001,32.920329570770264,0.6116263924901566,43
372,1.0,0.001,32.920329570770264,0.6443499111687314,43
373,1.0,0.001,32.920329570770264,0.6027855805243445,43
374,1.0,0.0001,32.920329570770264,0.7053139705176222,43
375,1.0,0.0001,32.920329570770264,0.7101216628253145,43
376,1.0,0.0001,32.920329570770264,0.5705647387880534,43
377,1.0,0.0001,32.920329570770264,0.5358827307212138,43
378,0.1,0.1,32.920329570770264,0.6604730865264573,43
379,0.1,0.1,32.920329570770264,0.6373610510899836,43
380,0.1,0.1,32.920329570770264,0.7517973326610967,43
381,0.1,0.1,32.920329570770264,0.6789253817343704,43
382,0.1,0.01,32.920329570770264,0.7041120474406992,43
383,0.1,0.01,32.920329570770264,0.6743490708729473,43
384,0.1,0.01,32.920329570770264,0.6729109646595601,43
385,0.1,0.01,32.920329570770264,0.6164289830020167,43
386,0.1,0.001,32.920329570770264,0.6231204383943147,43
387,0.1,0.001,32.920329570770264,0.7004438562373956,43
388,0.1,0.001,32.920329570770264,0.6212684865072505,43
389,0.1,0.001,32.920329570770264,0.6232893978680495,43
390,0.1,0.0001,32.920329570770264,0.5858875324114088,43
391,0.1,0.0001,32.920329570770264,0.6407660496494767,43
392,0.1,0.0001,32.920329570770264,0.684062289926054,43
393,0.1,0.0001,32.920329570770264,0.7434462930951695,43
395,,,34.55672025680542,0.7566269326803035,44
395,50.0,0.1,34.55672025680542,0.6214053346778066,44
396,50.0,0.01,34.55672025680542,0.5614964467492558,44
397,50.0,0.001,34.55672025680542,0.6439582733122059,44
398,50.0,0.0001,34.55672025680542,0.5844089119370018,44
399,30.0,0.1,34.55672025680542,0.5979103644482858,44
400,30.0,0.01,34.55672025680542,0.6217480553154711,44
401,30.0,0.001,34.55672025680542,0.6786976015557477,44
402,30.0,0.0001,34.55672025680542,0.7611189138576778,44
403,20.0,0.1,34.55672025680542,0.683923941227312,44
404,20.0,0.01,34.55672025680542,0.6926531138960914,44
405,20.0,0.001,34.55672025680542,0.6446116032843561,44
406,20.0,0.0001,34.55672025680542,0.6440864184192836,44
407,10.0,0.1,34.55672025680542,0.656541402573706,44
408,10.0,0.01,34.55672025680542,0.674980493133583,44
